title,release_year,genres,popularity,vote_average,vote_count,original_title,overview,release_date,original_language
freaky new year!,2020,"Music,Comedy",1.55,4.5,2.0,Чумовой Новый год!,"December 31, 1320. Residents of the medieval city of Nischburg, who survived two plague epidemics, are preparing to celebrate the New Year and quickly forget about all the problems that have fallen on their heads. But it turns out that not everything that is possible has fallen on their heads. A huge stone flies to Earth, which will fall in about twelve hours. The wise Baron decides not to say anything to anyone, but to distract his subjects by having a luxurious feast for all the money left in the treasury. The holiday begins!",2020-12-28,ru
freaky deaky,2012,Comedy,6.08,5.0,61.0,Freaky Deaky,"Set in 1974, a pair of '60s radicals rely on their bomb-making skills on their way to becoming capitalists.",2012-04-22,en
freakin' beautiful world,1997,Drama,0.904,5.4,9.0,Sairaan kaunis maailma,"The Helsinki-based teenagers Ippe, Papu and Mia have become entangled in drug circles. Their problems get even worse when violent dealer Kalle starts blackmailing the indebted Ippe.",1997-04-11,fi
freaky farley,2007,"Horror,Comedy",0.546,6.9,8.0,Freaky Farley,"In a small New Hampshire town, the local peeping tom, Freaky Farley is embroiled in a tale of murder, monsters, ninjas, witches, angst, anger, insecurity and madness.",2007-10-08,en
freaky movie,2024,"Action,Comedy,Horror",0.645,10.0,1.0,Freaky Movie,4 friends recreate 6 popular movie scenes in honour of their friends upcoming 17th birthday.,2024-08-20,en
let him go,2020,"Thriller,Crime,Western",13.747,6.834,663.0,Let Him Go,"Following the loss of their son, a retired sheriff and his wife leave their Montana ranch to rescue their young grandson from the clutches of a dangerous family living off the grid in the Dakotas.",2020-11-05,en
"if he hollers, let him go!",1968,"Crime,Drama",1.612,5.0,4.0,"If He Hollers, Let Him Go!","James Lake (Raymond St. Jacques) is an escaped black convict imprisoned for a murder he didn't commit. Leslie Whitlock (Kevin McCarthy) offers James money to kill his wife, Ellen (Dana Wynter). He declines and tries to look up his old flame Lily (Barbara McNair), but discovers his own brother is now married to the sultry nightclub singer. James returns to Leslie, and the trio travel towards a mountain retreat. James and Ellen escape and try to find the murderer who had framed James years before.",1968-10-08,en
come play,2020,"Horror,Mystery,Thriller",17.429,6.4,673.0,Come Play,"A lonely young boy feels different from everyone else. Desperate for a friend, he seeks solace and refuge in his ever-present cell phone and tablet. When a mysterious creature uses the boy’s devices against him to break into our world, his parents must fight to save their son from the monster beyond the screen.",2020-10-28,en
come play with me,2021,Horror,5.738,6.9,164.0,Juega Conmigo,"Sofia, an insecure young woman, begins babysitting two troublesome siblings that turn her job into a complete living hell. That is until a devilish presence starts messing with the trio and they must band together to fight the demon away.",2021-02-25,es
come play with me,1968,Drama,2.241,5.9,11.0,"Grazie, zia","Young Alvise's body is paralyzed, or at least he thinks so. He is infatuated by his beautiful aunt Lea. What starts as innocent therapy and care soon develops into strange erotic and psychological battle between them.",1968-04-30,it
come out and play,2012,Horror,6.841,5.042,95.0,Come Out and Play,"A couple take a vacation to a remote island - their last holiday together before they become parents. Soon after their arrival, they notice that no adults seem to be present - an observation that quickly presents a nightmarish reality.",2012-10-09,en
come play with me,1977,Comedy,8.728,4.9,22.0,Come Play with Me,"Two alluring young ladies live with their beautiful widowed aunt on a secluded wooded estate. The women have earned themselves quite a reputation in the surrounding towns and men from all over the region are frequent visitors to the small countryside home, hoping to encounter one, or preferably both, of the seductive nieces. Of course, the aunt has equally strong desires and refuses to be outdone. Soon all three are offering the many courters the chance to Come Play with Me!",1977-04-28,en
the harvest,2015,"Horror,Thriller,Mystery",6.715,6.0,199.0,The Harvest,"After becoming orphaned, a lonely girl moves in with her grandparents and tries to befriend a sick, bed-ridden boy next door, despite his mother’s strong objections. Her persistence leads to a friendship, but during secret visits, she uncovers dark secrets in the boy's home.",2015-04-10,en
secrets of a french maid,1980,Comedy,8.822,5.7,25.0,Die Nichten der Frau Oberst,"Frau Oberst has 2 young nieces who are very open with their sexuality. She hopes to find adequate lovers for her nieces and along the way finds herself in some precarious sexual situations. After a series of sexual encounters between just about everyone at the estate, the Countess drops by for a party where the nieces announce their wedding intentions.",1980-01-18,de
the amorous sisters,1980,Comedy,23.332,5.2,15.0,"Julchen und Jettchen, die verliebten Apothekerstöchter",Comedy about some schoolgirls being taught anatomy (of the sexual nature) by the sexually frustrated Barbara Moose. In bed at nighttime the girls practice their daily lessons on each other and on any unsuspecting visitors of the night. When they're not in class they enjoy frolicking around outside (naked most of the time!) experiencing the joys of nature.,1980-11-28,de
honest thief,2020,"Thriller,Action,Crime",23.048,6.492,1733.0,Honest Thief,"A bank robber tries to turn himself in because he's falling in love and wants to live an honest life...but when he realizes the Feds are more corrupt than him, he must fight back to clear his name.",2020-09-03,en
the war with grandpa,2020,"Comedy,Family",19.795,6.4,951.0,The War with Grandpa,"Peter is thrilled that his Grandpa is coming to live with his family. That is, until Grandpa moves into Peter's room, forcing him upstairs into the creepy attic. And though he loves his Grandpa, he wants his room back - so he has no choice but to declare war.",2020-08-27,en
tenet,2020,"Action,Thriller,Science Fiction",53.28,7.2,9899.0,Tenet,"Armed with only one word - Tenet - and fighting for the survival of the entire world, the Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",2020-08-22,en
looking at the world in a new way: the making of 'tenet',2020,Documentary,1.904,8.0,12.0,Looking at the World in a New Way: The Making of 'Tenet',A look behind the scenes of Christopher Nolan's Tenet.,2020-12-15,en
"hold the lion, please",1942,"Animation,Comedy",0.698,6.2,10.0,"Hold the Lion, Please","A lion wants to prove he's still ""King of the Jungle"" and, to prove it, he hunts rabbit.",1942-06-06,en
the new mutants,2020,"Science Fiction,Horror,Action",28.959,6.1,3417.0,The New Mutants,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",2020-04-02,en
unhinged,2020,"Action,Thriller,Horror",19.045,6.445,2274.0,Unhinged,"Rachel is a divorced single mother whose bad day gets even worse. She's running late to drop her son off at school when she honks her horn impatiently at a fellow driver during rush-hour traffic. After an exchange of words, she soon realizes that the mysterious man is following her and her young son in his truck. A case of road rage quickly escalates, at horrifyingly psychotic proportions, into full-blown terror as Rachel discovers the psychopath's sinister plan for revenge. He is single-mindedly determined to teach her a deadly lesson.",2020-07-16,en
unhinged,2017,Horror,3.626,5.3,50.0,Unhinged,"Four American best friends decide to take the back roads travelling to a wedding in England, on their way a deadly secret forces the girls to be stranded in the woods, where they discover a house occupied by Miss Perkins.",2017-09-25,en
unhinged,1982,Horror,1.715,4.9,37.0,Unhinged,"College students Terry, Nancy, and Gloria, on their way to a rock concert, crash their car in a torrential rainstorm, badly injuring one of them. Seeking shelter and aid, they come across a house occupied by a man-hating mother and her daughter...and they soon wish they hadn't.",1982-10-14,en
unhinged date,2025,"Romance,Mystery,Thriller,Comedy",0.759,0.0,0.0,Unhinged Date,"Milo, an awkward lesbian goes on a Hinge date with who seems to be the girl of her dreams. But when they meet face to face, Milo's plans to woo her do not go as planned",2025-02-26,en
jeff dunham: unhinged in hollywood,2015,Comedy,3.381,6.4,23.0,Jeff Dunham: Unhinged in Hollywood,Previously unseen stand-up comedy by Jeff Dunham. Sketches include popular characters. Brad Paisley performs too! Special appearances by comic Chris Parnell and former UFC champion Chuck Liddell.,2015-09-17,en
unhinged: retribution,2023,Horror,0.756,0.0,0.0,Unhinged: Retribution,"A sequel to the 1982 horror film ""Unhinged"". Lorna's sister went missing in 1985 never to be heard from again. Now, Lorna and a team of investigators are about to uncover what happened to her sister.",2023-08-28,en
unhinged: surviving jo'burg,2010,Documentary,0.364,6.5,1.0,Unhinged: Surviving Jo'burg,"Unhinged: Surviving Jo'burg is an honest, quirky and sometimes frenzied documentary about Johannesburg, South Africa's biggest city and the world's gateway to Southern Africa. With rapid narrative, dry humour, trivial factoids, insightful observations and a highly enjoyable soundtrack, the film tells a slice-of-city-life story. It's a personal video snapshot of today's city, providing a unique opportunity for viewers to get a glimpse inside a place that the world has a very fuzzy sense of. Written by Adrian Loveland",2010-10-13,en
starrcast iv: unhinged - the jon moxley story,2019,unknown,0.011,0.0,0.0,STARRCAST IV: Unhinged - The Jon Moxley Story,"Rising from the bloody depths of the death match to global acclaim, Jon Moxley has left no building destroyed and no bridged nuked. The Voice of Wrestling Jim Ross sits down in conversation with one of the most controversial souls to step inside the squared circle – this will be the Jon Moxley Story, unedited, unscripted and not for the faint of heart. With the straitjacket of PG wrestling torn apart, the intense fire that drives Jon Moxley will never be quelled and certainly, controversy will follow this ferocious conversation!",2019-11-08,en
the spongebob movie: sponge on the run,2020,"Family,Animation,Fantasy,Adventure,Comedy",42.123,7.5,2845.0,The SpongeBob Movie: Sponge on the Run,"When his best friend Gary is suddenly snatched away, SpongeBob takes Patrick on a madcap mission far beyond Bikini Bottom to save their pink-shelled pal.",2020-08-14,en
the tax collector,2020,"Action,Crime,Drama",22.173,5.6,476.0,The Tax Collector,David Cuevas is a family man who works as a gangland tax collector for high ranking Los Angeles gang members. He makes collections across the city with his partner Creeper making sure people pay up or will see retaliation. An old threat returns to Los Angeles that puts everything David loves in harm’s way.,2020-08-07,en
the rental,2020,"Horror,Mystery,Thriller",11.902,5.537,890.0,The Rental,"Two couples on an oceanside getaway grow suspicious that the host of their seemingly perfect rental house may be spying on them. Before long, what should have been a celebratory weekend trip turns into something far more sinister.",2020-07-23,en
rental family,2023,"Drama,Romance,Family",2.859,0.0,0.0,レンタル×ファミリー,"~~ Adapted from the novel ""Human Rental Shop"" (人間レンタル屋) by Ishii Yuichi (石井裕一).",2023-06-10,ja
rental joshidaisei: nikuyoku entai-chû,2017,Drama,2.317,6.0,2.0,サイコウノバカヤロウ,"An erotic drama. Yuki has a part-time job called ""self-rental"" for customer complaints and consultations. One day, Yuki invites Teruo, who she knows since college, to the work on ""self rental"".",2017-03-17,ja
becky,2020,"Thriller,Horror,Action",12.691,6.273,576.0,Becky,A teenager's weekend at a lake house with her father takes a turn for the worse when a group of convicts wreaks havoc on their lives.,2020-07-23,en
becky,2024,"Drama,Thriller",2.099,6.0,1.0,Becky,"Newly married couple, Greg and Joy Lawson, move into their home in the suburbs and are warmly welcomed by their neighbors, one of whom, Becky, takes a dangerous interest in Greg. While Joy is away, they spend an intimate moment together, orchestrated by Becky, and then they agree to keep their distance. But she inserts herself into every aspect of his life, wreaking havoc on his marriage and potential job until the final explosive confrontation.",2024-04-09,en
becky,1927,"Comedy,Romance",0.406,0.0,0.0,Becky,Becky (1927) film,1927-11-12,en
the wrath of becky,2023,"Action,Horror,Thriller",17.642,6.313,332.0,The Wrath of Becky,"Two years after she escaped a violent attack on her family, 16-year-old Becky attempts to rebuild her life in the care of an older woman -- a kindred spirit named Elena. However, when a violent group known as the Noble Men break into their home, attack them and take their beloved dog, Becky must return to her old ways to protect herself and her loved ones.",2023-05-26,en
monkeys like becky,1999,Documentary,1.367,6.5,4.0,Mones com la Becky,"The first part of this documentary deals with the Portuguese neurologist António Egas Moniz, Nobel Prize for Medicine in 1949, one of the first surgeons to apply the technique called lobotomy for the treatment of schizophrenia. The second part deals with the everyday life of people with schizophrenia today: behavior and relationships, and treatment for the disease.",1999-01-01,es
becky and badette,2023,Comedy,3.913,7.5,2.0,Becky and Badette,Two best friends accidentally go viral by making up stories in their high school reunion.,2023-12-25,tl
becky sharp,1935,"Drama,Romance",5.455,5.6,19.0,Becky Sharp,"The first feature length film to use three-strip Technicolor film. Adapted from a play that was adapted from William Makepeace Thackeray's book ""Vanity Fair"", the film looks at the English class system during the Napoleonic Wars era.",1935-06-28,en
becky hill: believe me now? (album launch party - mixmag),2024,Music,0.121,0.0,0.0,Becky Hill: Believe Me Now? (Album Launch Party - Mixmag),Becky Hill jumped on the decks at Egg London and performed a mix of new and classic tracks at her Believe Me Now? album launch party with YouTube Music Nights.,2024-05-31,en
becky and francis are in deep $#!+,2023,Comedy,0.656,0.0,0.0,Becky and Francis are in Deep $#!+,"Coworkers and friends(?), Becky, an engineer, and Francis, a scientist, argue over which mass-murder-capable invention they should fix before lunch.",2023-12-15,en
the wretched,2020,"Horror,Mystery,Thriller",6.71,6.1,618.0,The Wretched,"A rebellious teenage boy, struggling with his parent's imminent divorce, encounters a terrifying evil after his next-door neighbor becomes possessed by an ancient witch that feasts on children.",2020-03-09,en
the wretched,2016,unknown,0.19,0.0,0.0,The Wretched,Three women on a road trip stop at a haunted bed and breakfast and encounter a nefarious group of people with goals of literally raising hell.,2016-06-16,en
wretches,2018,Drama,1.912,5.2,6.0,괴물들,"Jae-young is a high school student who is often bullied by the school’s mob leader, Yong-gyu. When Yong-gyu is hospitalized, Hoon wants to take his place at the top of the school. Jae-young hoped doing away with Yong-gyu would help him escape the tedious violence, but he finds himself tormented and harassed even more under the persistent Hoon.",2018-03-08,ko
the wretches,1960,Drama,1.446,6.2,8.0,Les Scélérats,"Meant to be a psychological study of a dysfunctional couple and an equally unbalanced maid, this slow-paced, murky melodrama stars Michele Morgan and Robert Hossein as Thelma and Jess, two Americans who move into a down-at-the-heels Paris neighborhood. The couple is still suffering from the loss of their only son in an automobile accident that happened some time in the distant past. Thelma tends to drown her sorrows in alcohol, while Jess is introspected and morose. After they hire a maid to help out with the housework, she falls for the taciturn Jess. Her interest seems to be only a simple attraction, yet appearances, as it turns out, are deceiving.",1960-05-08,fr
the wretches are still singing,1979,"Mystery,Drama,Adventure,Crime",1.511,7.2,14.0,Τα Κουρέλια Τραγουδάνε Ακόμα,"Five friends (representatives of the Fifties generation) now in their forties, get together after many years of silence. One shows up from jail, where he has been entering and exiting for years, the other comes from a series of ""accidental"" murders, another leaves his wife and kids, the fourth one is a wonderer, and the last one, the girl of the gang, comes from a lunatic asylum where she has been hiding for years... All of them are outcasts, tortured from barren love affairs, wounded from the deaths of their beloved friends and betrayed by the politics of their times. They hopelessly try to reconstruct the gang of their puberty, but the revolution is lost... Now, each in his own way, will progress into a journey of death, thus opening a new chapter in the history of their generation.",1979-10-04,el
true history of the kelly gang,2019,"Crime,Drama,Western,Thriller",11.683,5.9,309.0,True History of the Kelly Gang,"Set against the badlands of Australia where the English rule with a bloody fist and the Irish endure, Ned Kelly discovers he comes from a line of Irish rebels — an uncompromising army of cross dressing bandits immortalised for terrorising their oppressors back in Ireland. Fuelled by the unfair arrest of his mother, Kelly recruits a wild bunch of warriors to plot one of the most audacious attacks of anarchy and rebellion the country has ever seen.",2019-11-23,en
resistance,2020,"War,History,Drama",12.172,6.973,425.0,Resistance,The story of mime Marcel Marceau as he works with a group of Jewish boy scouts and the French Resistance to save the lives of ten thousand orphans during World War II.,2020-03-27,en
resistance,2003,"Drama,Romance",2.204,5.1,7.0,Resistance,"The epic tale of an American reconnaissance pilot downed in occupied Belgium at the height of World War II. Hidden by resistance fighters, the pilot falls in love with the wife of the man who will save him. When their affair is exposed, an act of betrayal threatens their lives and the entire resistance movement, forcing the pilot to make a powerful choice that could change the course of the war.",2003-07-16,en
résistance,2016,"Science Fiction,Animation",0.394,6.0,2.0,Résistance,"Dominated by an Insect's totalitarian regime, the staff of a restaurant organizes a plot to knock down the established order.",2016-10-17,fr
resistance,2024,unknown,0.122,0.0,0.0,Resistance,,2024-06-14,fr
résistance,2019,"Drama,Science Fiction",0.0,4.75,2.0,Résistance,"2029. Paris. Reading is forbidden by law. The internet has been censured. On the main floor, a man is arrested. In the basement, life continues: learning books. Freedom persists.",2019-10-01,fr
gramps is in the resistance,1983,"Comedy,War",7.179,6.873,393.0,Papy fait de la résistance,"It is 1943 in Paris. Like so many others, the Bourbelle family's home has been taken over by the Germans and they now live in their cellar. Little do they know that the son, Guy-Hubert Bourdelle, is far from being the cowardly hairdresser he pretends. He is in truth the Germans’ most feared opponent: le super-résistant!",1983-10-26,fr
the resistance banker,2018,"War,Drama",8.018,6.7,242.0,Bankier van het Verzet,"In the occupied Netherlands during World War II, banker Walraven van Hall is asked to use his financial contacts to help the Dutch resistance. With his brother Gijs, he comes up with a risky plan to take out huge loans and use the money to finance the Resistance.",2018-03-08,nl
swallow,2021,"Drama,History,Thriller,Crime",2.36,4.7,7.0,Swallow,"Set in the 1980s, Tolani Ajao is a bank secretary in Lagos, who finds herself persuaded by her friend Rose Adamson to enter the world of drug trafficking.",2021-10-01,en
swallow,2020,"Drama,Thriller,Horror",9.791,6.6,742.0,Swallow,"Hunter, a newly pregnant housewife, finds herself increasingly compelled to consume dangerous objects. As her husband and his family tighten their control over her life, she must confront the dark secret behind her new obsession.",2020-01-15,en
swallow,2017,Horror,0.631,0.0,0.0,Swallow,A couple introduces a third person into their relationship… or do they?,2017-08-02,en
swallowtail butterfly,1996,"Drama,Crime,Music,Science Fiction",9.945,7.429,85.0,スワロウテイル,"The struggles of a group of outcasts living in ""Yentown"", in an alternate-future Japan.",1996-09-14,ja
swallowed star the movie: xueluo continent,2024,"Animation,Action,Science Fiction,Adventure",7.249,8.2,4.0,吞噬星空剧场版：血洛大陆,,2024-12-07,zh
the swallows of kabul,2019,"Animation,Drama",6.18,7.768,209.0,Les Hirondelles de Kaboul,"Summer 1998—Kabul under Taliban rule. Zunaira and Mohsen are young and in love. Despite the daily violence and misery, they hope for a better future. One day, a foolish gesture causes life to take an irrevocable turn.",2019-09-04,fr
golden swallow,1968,"Action,Adventure,Romance",5.099,6.2,37.0,金燕子,"Golden Swallow revolves around the further adventures of its title character. This time around, she is forced into violence when a figure from her mysterious past goes on a killing rampage while leaving evidence that holds her responsible. Golden Swallow also makes room for a love triangle involving a mad, but righteous, swordsman named Silver Roc and a gentle warrior named Golden Whip. The three team up to conquer the evil forces of the martial world, but their joint venture only lasts so long, due to the two men's egos. Ultimately, a duel to the death is planned between them, leaving Golden Swallow caught between two men, both of whom she admires.",1968-04-03,zh
blue swallow,2005,"Romance,Drama",3.21,6.8,10.0,청연,"Park Kyung-won, who aspired to become a pilot since a young age, enrolls at an aviation academy in Japan. There she meets a charming exchange student from Korea who she is destined to be with.",2005-12-29,ko
policewoman swallow,2006,"Romance,Drama",0.681,0.0,0.0,警花燕子,Chinese film directed by Zhang Jing and starring Tang Wei.,2006-03-28,zh
lupin the third: swallowtail tattoo,2004,"Action,Animation,Comedy,TV Movie,Crime",6.787,6.6,30.0,ルパン三世 盗まれたルパン 〜コピーキャットは真夏の蝶〜,"Fujiko and Lupin are kidnapped by Malkovich, a notorious criminal escaped from Alcatraz who forces Lupin to steal the ""Bull's Eye,"" a precious stone.",2004-07-30,ja
and give my love to the swallows,1972,Drama,1.721,4.7,10.0,...a pozdravuji vlaštovky,"This film, chronicling the last days of Czech resistance fighter Maruska Kuderikova (played by Magda Vasaryova), is based on her diaries. Though she was tortured and eventually executed by the Nazis, her diaries indicate that she was optimistic for the humanity of her captors and did not by any means hate them. Told with simple dignity, this film makes clear why Maruska became a national hero.",1972-05-26,cs
strike!,1998,"Drama,Comedy",7.085,6.3,118.0,Strike!,"In the 1960s, a group of friends at an all girls school learn that their school is going to be combined with a nearby all boys school. They concoct a plan to save their school while dealing with everyday problems along the way.",1998-08-21,en
strike,2019,"Family,Comedy,Adventure,Animation",3.311,6.0,20.0,Strike,A young mole must try to achieve his impossible dream of becoming a footballer in order to save his hometown gold mine from a greedy supervillain known only as 'The Boss'.,2019-02-06,en
the crocodiles strike back,2010,"Family,Adventure",6.582,6.7,84.0,Vorstadtkrokodile 2,"New summer adventure of the Crocodiles, who set up their detective skills to find out who is behind the accidents of the factory where Ollie and Mary's parents work , which could mean the closure of the plant, the move of the family and the dissolution of the gang.",2010-01-21,de
pokémon the movie: mewtwo strikes back - evolution,2019,"Animation,Adventure,Fantasy,Action,Family",22.326,6.7,527.0,ミュウツーの逆襲 EVOLUTION,"After accepting an invitation from a mysterious trainer, Ash, Misty and Brock meet Mewtwo, an artificially created Pokémon who wants to do battle.",2019-07-12,ja
love strikes!,2011,"Comedy,Romance,Drama",5.818,7.6,34.0,モテキ,"Set one year after the drama series ""Moteki.""  31-year-old Yukiyo Fujimoto doesn't have money, dreams or a girlfriend. He has left his job at a staffing firm and is attempting to start a new life by working as a writer for a news site. Suddenly, Yukiyo experiences ""moteki"" - a period when a man becomes suddenly popular with woman. Cute magazine editor Miyuki, pure and naive office worker Rumiko, beautiful shop assistant Ai and beautiful, but tough co-worker named Motoko all become interested in Yukiyo. He tries to calm down, but is shaken by the interests of these women.",2011-09-23,ja
striking rescue,2024,"Crime,Action,Thriller",33.774,6.3,5.0,惊天大营救,"Former security expert Bai An kidnaps young heiress He Ting, intending to use her to take revenge on her father. However, he inadvertently saves her from a drug cartel massacre. Despite her youth, the resourceful He Ting, now isolated and uncertain of her father’s fate, proposes an alliance with Bai An to search for her missing father. Together, they embark on an unexpected journey that challenges both their motives and trust.",2024-12-05,zh
uri: the surgical strike,2019,"Action,Drama,War",40.13,7.0,427.0,Uri: The Surgical Strike,"Following the roguish terrorist attacks at Uri Army Base camp in Kashmir, India takes the fight to the enemy, in its most successful covert operation till date with one and only one objective of avenging their fallen heroes.",2019-01-11,hi
detective conan: the eleventh striker,2012,"Animation,Mystery,Action",17.591,6.903,124.0,名探偵コナン １１人目のストライカー,"Kogoro's detective agency receives a mysterious phone call. Someone on the other end warns about a bomb and leaves behind a code, which if Conan can decipher the riddle, he can stop the bomb. An adventure begins for Conan and the Detective Boys, taking place at a soccer match between Hideo Akagi of the Tokyo Spirits and Ryusuke Higo of Big Osaka.",2012-04-14,ja
police story 4: first strike,1996,"Action,Adventure,Comedy,Crime,Drama,Thriller",18.343,6.469,482.0,警察故事4之簡單任務,"Hong Kong cop Chan Ka-Kui returns, working with Interpol to track down and arrest an illegal weapons dealer. Chan later realizes that things are not as simple as they appear and soon finds himself to be a pawn of an organization posing as Russian intelligence.",1996-02-10,cn
fear strikes out,1957,Drama,1.569,7.0,18.0,Fear Strikes Out,"True story of the life of Jimmy Piersall, who battled mental illness to achieve stardom in major league baseball.",1957-03-20,en
the devil strikes at night,1957,"Drama,Thriller,Crime",3.586,6.9,28.0,"Nachts, wenn der Teufel kam","Hamburg, Germany, 1944, during World War II. A serial killer terrorizes the city. When it seems clear that the local police are unable to catch him, forces as dark and terrible as the criminal himself become involved in the case.",1957-09-19,de
onward,2020,"Family,Animation,Adventure,Comedy,Fantasy",32.189,7.679,6142.0,Onward,"In a suburban fantasy world, two teenage elf brothers embark on an extraordinary quest to discover if there is still a little magic left out there.",2020-02-29,en
onward,2022,Documentary,0.169,0.0,0.0,Onward,"The first full-length edit from Lizzie Armanto in nearly five years, Onward showcases what Lizzie has become known for: her humble, hard-working approach, one-of-a-kind style, and tenacity to make any trick a reality.",2022-09-21,en
14.05 always a kind of onward,2019,Drama,0.255,0.0,0.0,14.05 altijd een soort vooruit,"People seem to find their way in a rebuilt city. They live their lives and rush home at the end of a working day. Until a colossal eruption shakes the city and embraces it in a blanket of smoke. Modern interpretation of the bombing of Rotterdam, inspired by a poem by Dean Bowen.",2019-05-14,nl
apostles of comedy: onwards and upwards,2013,Comedy,0.344,8.0,2.0,Apostles of Comedy: Onwards and Upwards,"Delivering laughs for the entire family, ""Apostles of Comedy: Onwards and Upwards"" is a hilarious stand-up comedy feature film for the faith-based community starring comedy superstars Jeff Allen, Ron Pearson and Keith Alberstadt.",2013-06-14,en
onward to calgary,2008,Comedy,0.013,0.0,0.0,Onward to Calgary,"When a deal between a public access poetry show and a fish stick business turns suffocating, the show's hosts uses a fan letter as an excuse to get the hell out of town.",2008-03-22,en
onward lossless follows,2017,Documentary,0.106,0.0,0.0,Onward Lossless Follows,"A password-protected love affair, a little vapor on Venus, and a horse with no name ride out in search of a better world. Against the mounting darkness, a willing abduction offers a stab at tomorrow.",2017-09-08,en
the invisible man,2020,"Thriller,Science Fiction,Horror",39.261,7.11,5714.0,The Invisible Man,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",2020-02-26,en
the invisible man,1933,"Horror,Science Fiction",19.312,7.481,846.0,The Invisible Man,"Working in Dr. Cranley's laboratory, scientist Jack Griffin was always given the latitude to conduct some of his own experiments. His sudden departure, however, has Cranley's daughter Flora worried about him. Griffin has taken a room at the nearby Lion's Head Inn, hoping to reverse an experiment he conducted on himself that made him invisible. But the experimental drug has also warped his mind, making him aggressive and dangerous. He's prepared to do whatever it takes to restore his appearance.",1933-11-03,en
fear the invisible man,2023,"Thriller,Horror,Science Fiction",8.967,6.7,41.0,Fear the Invisible Man,"A young British widow shelters an old medical school colleague, a man who has somehow turned himself invisible. As his isolation grows and his sanity frays, he schemes to create a reign of wanton murder and terror across the city.",2023-06-16,en
the invisible maniac,1990,"Science Fiction,Comedy,Horror",7.487,4.5,42.0,The Invisible Maniac,An invisible scientist escapes from an asylum and teaches high-school physics to nubile teens.,1990-07-13,en
the invisible man's revenge,1944,"Horror,Science Fiction",5.601,5.6,56.0,The Invisible Man's Revenge,"A fugitive, dangerous madman reaches an English village where he confronts his former partner who left him for dead in the jungle after their discovery of a diamond mine. When the former partner also claims to have since lost the mine and all its wealth, which he took all for himself, and though the partmer is still living in a state of luxury , the madman takes up an offer from a crazed scientist to make him invisible, something the scientist has already done with experimental animals, so that he can take revenge.",1944-06-09,en
the invisible man,1985,"Drama,Science Fiction",1.78,5.9,9.0,Человек-невидимка,"Based upon the famous novel by H.G.Wells. A poor scientist named Griffin discovers a way to make things invisible. Since he has no money to continue his research, he decides to perform his only experiment on himself. After becoming invisible, Griffin has a lot of trouble trying to conceal this from other people.",1985-07-14,ru
the new invisible man,1958,"Science Fiction,Fantasy,Horror",1.083,5.2,10.0,El hombre que logró ser invisible,"A man is sentenced to prison for a murder he did not commit. Thanks to a serum invented by his brother, he manages to become invisible and escape from prison in order to prove his innocence, while his brother works feverishly to find an antidote.  Theatrically released in USA in Spanish language only;  later English-dubbed version syndicated directly to television.",1958-11-08,es
the invisible man's love life,1970,"Horror,Science Fiction",2.652,3.3,15.0,La vie amoureuse de l'homme invisible,"Young doctor Garondet is summoned by renowned Professor Orloff. At Orloff's castle, Garondet discovers that the mad scientist has created an invisible yet murderous apeman.",1970-10-25,fr
the invisible man returns,1940,"Horror,Mystery,Science Fiction,Thriller",10.38,6.2,120.0,The Invisible Man Returns,"The owner of a coal mining operation, falsely imprisoned for fratricide, takes a drug to make him invisible, despite its side effect: gradual madness.",1940-01-12,en
the invisible man,2017,"Science Fiction,Horror,Thriller",0.759,4.0,6.0,The Invisible Man,"A modern retelling of H.G. Wells classic novel, The Invisible Man. Motivated by the death of his son, Griffin, a brilliant but eccentric scientist discovers a method to invisibility.",2017-12-12,en
the erotic misadventures of the invisible man,2003,"Science Fiction,Comedy",5.344,5.0,20.0,The Erotic Misadventures of the Invisible Man,"When Norman, an aspiring actor, can't find an open door in Hollywood he gets rather dispirited. But he gets a new lease on life when he discovers an invisibility formula and learns that women don't really care whether they can see him or not! This erotic comedy is based on the comic books by Milo Manera.",2003-11-18,en
the invisible man,2021,Horror,0.806,0.0,0.0,The Invisible Man,A young woman is visited by a stranger in the dead of winter. A short film adaptation of H.G. Wells's novel.,2021-05-08,en
bud abbott and lou costello meet the invisible man,1951,"Comedy,Science Fiction,Crime",8.099,6.353,102.0,Bud Abbott and Lou Costello Meet the Invisible Man,"As novice detectives, Bud and Lou come face to face with the Invisible Man.",1951-04-12,en
the invisible man appears,1949,"Horror,Science Fiction,Mystery",3.393,6.042,12.0,透明人間現わる,"Jewel thieves become interested in an invisibility formula invented by Professor Nakazato and want to use his invention to acquire a diamond necklace called the ""Tears of Amour.""",1949-09-26,ja
sonic the hedgehog 3,2024,"Action,Science Fiction,Adventure,Comedy,Family",2068.028,7.8,80.0,Sonic the Hedgehog 3,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",2024-12-19,en
